N°vel;Categoria;Palavra;Letras;Similar 1;Similar 2;Similar 3
MÇdio ; Objetos ; borla ;5; detalhe ; tecido ; enfeite
MÇdio ; Objetos ; Borracha ;8; Apagador ; Esponja ; Pano
MÇdio ; Objetos ; Borrifador ;10; Pulverizador ; Atomizador ; Nebulizador
F†cil ; Objetos ; Bot∆o ;5; Z°per ; Trava ; Fecho
Dif°cil ; Objetos ; Botija ;6; Vaso ; Recipiente ; Garrafa
MÇdio ; Objetos ; Braseiro ;8; Forno ; Churrasqueira ; Chapa
MÇdio ; Objetos ; brid∆o ;6; sela ; arreio ; cavalo
F†cil ; Objetos ; brinco ;6; joia ; argola ; metal
MÇdio ; Objetos ; Broca ;5; Ponteiro ; LÉmina ; Serrote
MÇdio ; Objetos ; Broche ;6; Presilha ; Grampo ; Bot∆o
F†cil ; Objetos ; broxa ;5; pincel ; tinta ; cerdas
MÇdio ; Objetos ; Bucha ;5; Esponja ; Pano ; Trapo
Dif°cil ; Objetos ; Buj∆o ;5; Botij∆o ; Cilindro ; Tanque
Dif°cil ; Objetos ; Bulbo ;5; Ampola ; LÉmpada ; Vidro
F†cil ; Objetos ; Bule ;4; Chaleira ; Garrafa ; Caneco
Muito dif°cil ; Objetos ; Bureta ;6; Pipeta ; Probeta ; BÇquer
MÇdio ; Objetos ; B£ssola ;7; Mapa ; GPS ; Rota
F†cil ; Objetos ; Cabine ;6; Quarto ; Sala ; Box
F†cil ; Objetos ; cabo ;4; fio ; corda ; aláa
MÇdio ; Objetos ; Cabresto ;8; Corda ; RÇdea ; Freio
MÇdio ; Objetos ; Cadaráo ;7; Fita ; Cord∆o ; Linha
F†cil ; Objetos ; Cadeira ;7; Banco ; Banqueta ; Poltrona
F†cil ; Objetos ; Caderno ;7; Livro ; Agenda ; Bloco
F†cil ; Objetos ; Caixa ;5; Ba£ ; Estojo ; Contàiner
MÇdio ; Objetos ; caixilho ;8; moldura ; vidro ; janela
F†cil ; Objetos ; Caixote ;7; Caixa ; Cofre ; Ba£
MÇdio ; Objetos ; Caldeira ;8; Forno ; Tacho ; Tanque
Dif°cil ; Objetos ; caldeir∆o ;9; panela ; ferro ; pote
Muito dif°cil ; Objetos ; Caleidosc¢pio ;13; Prisma ; Lente ; Refletor
Muito dif°cil ; Objetos ; Calibrador ;10; Medidor ; Regulador ; Ajustador
MÇdio ; Objetos ; c†lice ;6; taáa ; copo ; vidro
Dif°cil ; Objetos ; cal°grafo ;9; pena ; tinta ; escrita
MÇdio ; Objetos ; campana ;7; sino ; bronze ; toque
Dif°cil ; Objetos ; Candelabro ;10; Castiáal ; Suporte ; Lumin†ria
F†cil ; Objetos ; caneta ;6; l†pis ; marcador ; pincel
Dif°cil ; Objetos ; Canga ;5; Haste ; Suporte ; Arco
MÇdio ; Objetos ; canivete ;8; lÉmina ; faca ; bolso
MÇdio ; Objetos ; Cantil ;6; Garrafa ; Frasco ; Recipiente
MÇdio ; Objetos ; cantoneira ;10; metal ; suporte ; Éngulo
F†cil ; Objetos ; Capa ;4; Manto ; Tecido ; Forro
MÇdio ; Objetos ; Capacete ;8; M†scara ; BonÇ ; Touca
MÇdio ; Objetos ; capacho ;7; tapete ; entrada ; tecido
MÇdio ; Objetos ; Capacitor ;9; Bateria ; Resistor ; Bobina
MÇdio ; Objetos ; capuz ;5; tecido ; roupa ; cobertura
Muito dif°cil ; Objetos ; Carrilh∆o ;9; Sino ; Campana ; Badalo
MÇdio ; Objetos ; Carrinho ;8; Carroáa ; Vag∆o ; Trolley
Dif°cil ; Objetos ; Carrossel ;9; Engrenagem ; Roda ; Estrutura
MÇdio ; Objetos ; Cartucho ;8; Refil ; Carga ; Toner
MÇdio ; Objetos ; Cassetete ;9; Tacape ; Bast∆o ; Porrete
Muito dif°cil ; Objetos ; Catadi¢ptrico ;13; Espelho ; Lente ; Prisma
Dif°cil ; Objetos ; cataf°sico ;10; energia ; onda ; estudo
Dif°cil ; Objetos ; Catalisador ;11; Reagente ; Absorvente ; Acelerador
Muito dif°cil ; Objetos ; Catavento ;8; HÇlice ; Ventoinha ; Moinho
Muito dif°cil ; Objetos ; Catetìmetro ;10; RÇgua ; Transferidor ; Goniìmetro
MÇdio ; Objetos ; Catraca ;7; Torniquete ; Port∆o ; Tranca
Dif°cil ; Objetos ; Cavaco ;6; Viol∆o ; Cavaquinho ; Banjo
MÇdio ; Objetos ; Cavalete ;8; Suporte ; Pedestal ; TripÇ
MÇdio ; Objetos ; cÇdula ;6; papel ; dinheiro ; nota
Dif°cil ; Objetos ; Centr°fuga ;10; Separadora ; Extratora ; Homogeneizadora
F†cil ; Objetos ; Chaleira ;8; Panela ; Cafeteira ; Bule
MÇdio ; Objetos ; ChapÇu ;6; BonÇ ; Touca ; Capacete
MÇdio ; Objetos ; Chassi ;6; Estrutura ; Base ; Suporte
F†cil ; Objetos ; Chave ;5; Cadeado ; Fechadura ; Tranca
MÇdio ; Objetos ; Chaveiro ;8; Pingente ; Broche ; Medalha
MÇdio ; Objetos ; Chaveta ;7; Pino ; Engate ; Catraca
F†cil ; Objetos ; Chinelo ;7; Sapato ; Tànis ; Sand†lia
F†cil ; Objetos ; Chupeta ;7; Mamadeira ; Bico ; Mordedor
Dif°cil ; Objetos ; Cianìmetro ;9; Color°metro ; Espectro ; Medidor
MÇdio ; Objetos ; Cilindro ;8; Tubo ; Rolo ; Tanque
Muito dif°cil ; Objetos ; Cilindr¢metro ;12; Medidor ; Ferramenta ; Escala
Dif°cil ; Objetos ; Cinetosc¢pio ;12; Projetor ; Filmadora ; CÉmara
F†cil ; Objetos ; Cinto ;5; Fivela ; Suspens¢rio ; Aláa
Muito dif°cil ; Objetos ; Clarinete ;9; Flauta ; OboÇ ; Saxofone
Dif°cil ; Objetos ; Coador ;6; Filtro ; Tela ; Malha
F†cil ; Objetos ; Cobertor ;8; Manta ; Edredom ; Colcha
MÇdio ; Objetos ; Cofre ;5; Caixa ; Gaveta ; Arm†rio
F†cil ; Objetos ; Colch∆o ;7; Coberta ; Almofada ; Travesseiro
MÇdio ; Objetos ; Colher ;6; Garfo ; Esp†tula ; Concha
Dif°cil ; Objetos ; Colombina ;9; M†scara ; Fantasia ; Adereáo
Muito dif°cil ; Objetos ; Color°metro ;11; Espectrìmetro ; Fotìmetro ; Analisador
MÇdio ; Objetos ; Compasso ;8; RÇgua ; Trena ; Esquadro
MÇdio ; Objetos ; Compoteira ;10; Vaso ; Taáa ; Recipiente
F†cil ; Objetos ; Concha ;6; Colher ; Esp†tula ; Pegador
Dif°cil ; Objetos ; Condensador ;11; Radiador ; Compressor ; Evaporador
MÇdio ; Objetos ; Condu°te ;8; Tubo ; Cano ; Duto
MÇdio ; Objetos ; Contador ;8; Rel¢gio ; Marcador ; Medidor
MÇdio ; Objetos ; Conversor ;9; Adaptador ; Modem ; Receptor
F†cil ; Objetos ; Copo ;4; Taáa ; Caneca ; Vidro
Dif°cil ; Objetos ; Copo-medidor;12; BÇquer ; Probeta ; Bureta
F†cil ; Objetos ; Corda ;5; Fio ; Cabo ; Laáo
F†cil ; Objetos ; Cord∆o ;6; Fita ; Barbante ; Laáo
F†cil ; Objetos ; Cordinha ;8; Fita ; Linha ; Barbante
Muito dif°cil ; Objetos ; Coroaá∆o ;8; Ornamento ; Ins°gnia ; Emblema
Dif°cil ; Objetos ; Corìmetro ;8; Rel¢gio ; Temporizador ; Cronìmetro
MÇdio ; Objetos ; Correia ;7; Cinta ; Corda ; Fivela
Muito dif°cil ; Objetos ; CoruchÇu ;8; Ponta ; Torre ; Ornamento
Dif°cil ; Objetos ; Cossinete ;9; Tarraxa ; Lima ; Ferramenta
MÇdio ; Objetos ; couto ;5; lÉmina ; faca ; cutelo
Muito dif°cil ; Objetos ; Criodesidratador ;15; Secador ; Estufa ; Evaporador
Muito dif°cil ; Objetos ; CriodinÉmica ;12; Congelador ; CÉmara ; Incubadora
Muito dif°cil ; Objetos ; Criomicrosc¢pio ;15; Microsc¢pio ; Lente ; Sensor
Muito dif°cil ; Objetos ; Criosonda ;8; Detector ; Sensor ; LÉmina
Muito dif°cil ; Objetos ; Criostato ;9; Refrigerador ; Congelador ; Incubadora
Dif°cil ; Objetos ; criptosc¢pio ;12; luz ; lente ; oculto
Dif°cil ; Objetos ; Cristaleira ;10; Arm†rio ; Estante ; Vitrine
Dif°cil ; Objetos ; cromat¢foro ;11; cor ; pigmento ; cÇlula
Muito dif°cil ; Objetos ; Cron¢grafo ;10; Rel¢gio ; Temporizador ; Timer
Muito dif°cil ; Objetos ; Cronìmetro ;10; Timer ; Rel¢gio ; Contador
Dif°cil ; Objetos ; Cronosc¢pio ;11; Cronìmetro ; Timer ; Registrador
Muito dif°cil ; Objetos ; Cronotac¢grafo ;14; Registrador ; Sensor ; Medidor
Muito dif°cil ; Objetos ; Cronotermostato ;15; Regulador ; Sensor ; Temporizador
MÇdio ; Objetos ; cunha ;5; madeira ; peáa ; encaixe
Dif°cil ; Objetos ; Cupinzeiro ;10; Mont°culo ; Estrutura ; Ninho
Dif°cil ; Objetos ; Decoáadora ;10; Processadora ; Moenda ; Extratora
Muito dif°cil ; Objetos ; Deliquescància ;13; Umidade ; Reaá∆o ; Solubilidade
MÇdio ; Objetos ; Dens°metro ;10; Medidor ; Barra ; RÇgua
Dif°cil ; Objetos ; Desengripante ;13; Lubrificante ; Graxa ; Solvente
MÇdio ; Objetos ; Desfibrador ;11; Aparelho ; Sensor ; Monitor
Muito dif°cil ; Objetos ; Desidratador ;12; Forno ; Estufa ; Secador
MÇdio ; Objetos ; Desodorante ;11; Perfume ; Sabonete ; Hidratante
Muito dif°cil ; Objetos ; Destilador ;10; Filtro ; Purificador ; Evaporador
Muito dif°cil ; Objetos ; Desumidificador ;14; Ventoinha ; Extrator ; Filtro
MÇdio ; Objetos ; Dialeto ;7; Documento ; Texto ; Manuscrito
MÇdio ; Objetos ; Diamante ;8; Cristal ; Pedra ; Rubi
MÇdio ; Objetos ; Diapas∆o ;8; Tono ; Som ; Vibrador
MÇdio ; Objetos ; Difusor ;7; Ventoinha ; Bocais ; Sa°da
MÇdio ; Objetos ; d°namo ;6; energia ; motor ; carga
Dif°cil ; Objetos ; d°namometro ;11; foráa ; mediá∆o ; aparelho
F†cil ; Objetos ; Disco ;5; Roda ; CD ; Prato
MÇdio ; Objetos ; Disjuntor ;9; Chave ; Interruptor ; Fus°vel
MÇdio ; Objetos ; Dobradiáa ;9; Pino ; Trava ; Encaixe
MÇdio ; Objetos ; Dos°metro ;9; Medidor ; Sensor ; Detector
Dif°cil ; Objetos ; Dourado ;7; Metal ; Bronze ; Lat∆o
Dif°cil ; Objetos ; duplicador ;10; m†quina ; c¢pia ; prensa
Muito dif°cil ; Objetos ; Ebulidor ;8; Aquecedor ; Panela ; Fervedor
Muito dif°cil ; Objetos ; Ecl°metro ;9; RÇgua ; Gabarito ; Escala
Muito dif°cil ; Objetos ; Eletro°m∆ ;10; Bobina ; Solen¢ide ; Condutor
MÇdio ; Objetos ; embornal ;8; saco ; bolsa ; alforje
Dif°cil ; Objetos ; endosc¢pio ;10; tubo ; lente ; exame
Dif°cil ; Objetos ; Engastador ;10; Grampeador ; Prensador ; Fixador
MÇdio ; Objetos ; Engate ;6; Gancho ; Trava ; Acoplador
MÇdio ; Objetos ; Engrenagem ;10; Polia ; Roldana ; Mecanismo
MÇdio ; Objetos ; entalhe ;7; escultura ; detalhe ; corte
MÇdio ; Objetos ; Enxada ;6; P† ; Foice ; Rastelo
Dif°cil ; Objetos ; Enx¢ ;4; Form∆o ; Talhadeira ; Machado
Dif°cil ; Objetos ; Enxofrador ;10; Pulverizador ; Atomizador ; Vaporizador
Muito dif°cil ; Objetos ; EpinÇtrio ;9; Vaso ; Urna ; Recipiente
F†cil ; Objetos ; Escada ;6; Degrau ; Rampa ; Plataforma
Dif°cil ; Objetos ; Escafandro ;10; Cilindro ; M†scara ; Traje
Dif°cil ; Objetos ; Escareador ;10; Broca ; Cinzel ; Lixador
Dif°cil ; Objetos ; Escariador ;10; Lima ; Broca ; Ponteiro
MÇdio ; Objetos ; escudo ;6; proteá∆o ; tampa ; barreira
MÇdio ; Objetos ; Escultura ;9; Est†tua ; Arte ; Figura
MÇdio ; Objetos ; escumadeira ;11; cozinha ; colher ; metal
Muito dif°cil ; Objetos ; Esferosc¢pio ;13; Lente ; Prisma ; Mon¢culo
Muito dif°cil ; Objetos ; Esfigmomanìmetro ;15; Medidor ; Estetosc¢pio ; Sensor
Muito dif°cil ; Objetos ; Esfigmìmetro ;12; Medidor ; Sensor ; Barìmetro
Muito dif°cil ; Objetos ; Esf°ngio ;8; Escultura ; Figura ; Est†tua
Dif°cil ; Objetos ; Esmeril ;7; Politriz ; Ret°fica ; Lixadeira
MÇdio ; Objetos ; espartilho ;10; roupa ; cinta ; vestimenta
MÇdio ; Objetos ; Esp†tula ;8; Colher ; Faca ; Pincel
Dif°cil ; Objetos ; espectìmetro ;11; luz ; an†lise ; instrumento
Muito dif°cil ; Objetos ; Espectrofotìmetro ;17; Analisador ; Fotìmetro ; Color°metro
Muito dif°cil ; Objetos ; Espectr¢grafo ;12; Prisma ; Sensor ; Fotìmetro
Muito dif°cil ; Objetos ; Espectrìmetro ;13; Medidor ; Detector ; Analisador
Dif°cil ; Objetos ; espectrovisor ;13; luz ; imagem ; instrumento
F†cil ; Objetos ; Espelho ;7; Vidro ; Lente ; Janela
MÇdio ; Objetos ; espeto ;6; ferro ; vara ; grelha
Dif°cil ; Objetos ; Espinhela ;8; Viga ; Trave ; Haste
F†cil ; Objetos ; Esponja ;7; Pano ; Bucha ; Tecido
Muito dif°cil ; Objetos ; Esquadro ;7; RÇgua ; TriÉngulo ; Compasso
MÇdio ; Objetos ; estaca ;6; poste ; pilar ; viga
Dif°cil ; Objetos ; estandarte ;10; bandeira ; s°mbolo ; flÉmula
MÇdio ; Objetos ; Estatueta ;9; Escultura ; Figura ; ÷cone
F†cil ; Objetos ; Esteira ;7; Tapete ; Manta ; Passadeira
MÇdio ; Objetos ; Estàncil ;7; Molde ; Forma ; Gabarito
Muito dif°cil ; Objetos ; Estereosc¢pio ;13; Lupa ; Bin¢culo ; Microsc¢pio
MÇdio ; Objetos ; Estetosc¢pio ;13; Termìmetro ; Medidor ; Sensor
Muito dif°cil ; Objetos ; Esticador ;9; Catraca ; Cinta ; Gancho
MÇdio ; Objetos ; Estilete ;8; Navalha ; Faca ; Tesoura
Dif°cil ; Objetos ; estileteiro ;11; suporte ; lÉmina ; caixa
Dif°cil ; Objetos ; Estil¢grafo ;11; Caneta ; Marcador ; Lapiseira
Dif°cil ; Objetos ; Estirador ;9; Prancheta ; Mesa ; Cavalete
MÇdio ; Objetos ; Estojo ;6; Caixa ; Case ; Kit
Dif°cil ; Objetos ; Estopim ;6; F¢sforo ; Isqueiro ; Pavio
Dif°cil ; Objetos ; Estribo ;7; Suporte ; Aláa ; Correia
Muito dif°cil ; Objetos ; Estrobosc¢pio ;13; LÉmpada ; Flash ; Sinalizador
Dif°cil ; Objetos ; Evapor°metro ;11; Sensor ; Medidor ; Indicador
MÇdio ; Objetos ; Extintor ;8; Mangueira ; Hidrante ; Alarme
F†cil ; Objetos ; faca ;4; lÉmina ; cutelo ; punho
Dif°cil ; Objetos ; Fagote ;6; Clarinete ; OboÇ ; Trompa
F†cil ; Objetos ; Fantoche ;8; Boneco ; Marionete ; M†scara
MÇdio ; Objetos ; farolete ;8; luz ; lÉmpada ; lanterna
MÇdio ; Objetos ; Fechadura ;9; Cadeado ; Tranca ; Dobradiáa
MÇdio ; Objetos ; Feixe ;5; Haste ; Barra ; Viga
MÇdio ; Objetos ; Ferrolho ;8; Trava ; Cadeado ; Fecho
MÇdio ; Objetos ; filete ;6; tira ; linha ; corte
MÇdio ; Objetos ; Filtro ;6; Tela ; Malha ; Grade
F†cil ; Objetos ; fita ;4; laáo ; tecido ; faixa
Dif°cil ; Objetos ; fitosc¢pio ;10; planta ; lente ; exame
F†cil ; Objetos ; Fivela ;6; Cinto ; Aláa ; Prendedor
Dif°cil ; Objetos ; FlÉmula ;7; Bandeira ; Estandarte ; Ins°gnia
MÇdio ; Objetos ; Flanela ;7; Toalha ; Pano ; Tecido
Dif°cil ; Objetos ; Flauta ;6; OboÇ ; Clarim ; Fagote
F†cil ; Objetos ; flecha ;6; seta ; dardo ; lanáa
Muito dif°cil ; Objetos ; Fluor°metro ;10; Fotìmetro ; Detetor ; Sensor
F†cil ; Objetos ; Fog∆o ;5; Forno ; Chapa ; Cooktop
Dif°cil ; Objetos ; Foice ;5; Faca ; Serrote ; Machado
MÇdio ; Objetos ; fole ;4; ar ; sopro ; couro
F†cil ; Objetos ; Folha ;5; Papel ; Cartolina ; Placa
MÇdio ; Objetos ; folhagem ;8; ramo ; galho ; planta
F†cil ; Objetos ; Fone ;4; Headset ; Microfone ; Caixa
F†cil ; Objetos ; Forno ;5; Fog∆o ; Micro-ondas; Chaleira
F†cil ; Objetos ; Forquilha ;9; Garfo ; Garras ; Haste
MÇdio ; Objetos ; f¢sforo ;7; vela ; isqueiro ; chama
Muito dif°cil ; Objetos ; Fotodiodo ;9; Sensor ; Detector ; Transdutor
Dif°cil ; Objetos ; fotoelastic°metro ;16; luz ; tens∆o ; an†lise
Muito dif°cil ; Objetos ; Fotìmetro ;8; Color°metro ; Lux°metro ; Medidor
Muito dif°cil ; Objetos ; Fotopolimerizador ;16; Catalisador ; Endurecedor ; Selador
MÇdio ; Objetos ; Frasco ;6; Vidro ; Recipiente ; Tubo
F†cil ; Objetos ; Frigideira ;10; Panela ; Chapa ; Caáarola
MÇdio ; Objetos ; friso ;5; detalhe ; relevo ; ornamento
MÇdio ; Objetos ; fronha ;6; capa ; tecido ; travesseiro
MÇdio ; Objetos ; Funil ;5; Coador ; Filtro ; Peneira
MÇdio ; Objetos ; fus°vel ;7; energia ; proteá∆o ; circuito
MÇdio ; Objetos ; Gabarito ;8; Molde ; Escala ; RÇgua
MÇdio ; Objetos ; Gal∆o ;5; Recipiente ; Garrafa ; Botij∆o
F†cil ; Objetos ; galho ;5; ramo ; madeira ; vara
Dif°cil ; Objetos ; Galvanìmetro ;12; Volt°metro ; Amper°metro ; Oscilosc¢pio
Dif°cil ; Objetos ; Gamel∆o ;7; Tigela ; Recipiente ; Prato
MÇdio ; Objetos ; Gancho ;6; Suporte ; Argola ; Haste
Dif°cil ; Objetos ; Garateia ;8; ∂ncora ; Gancho ; Haste
F†cil ; Objetos ; Garfo ;5; Colher ; Faca ; Esp†tula
F†cil ; Objetos ; Garrafa ;7; Vidro ; Copo ; Cantil
MÇdio ; Objetos ; Gaveta ;6; Arm†rio ; Porta ; Compartimento
MÇdio ; Objetos ; Gaveteiro ;9; Arm†rio ; Caixa ; Estante
Muito dif°cil ; Objetos ; Geod°metro ;10; Teodolito ; N°vel ; Laser
MÇdio ; Objetos ; Gerador ;7; Motor ; Bateria ; Turbina
MÇdio ; Objetos ; Gipso ;5; Massa ; Argamassa ; Concreto
Dif°cil ; Objetos ; GirÉndola ;9; Roda ; Engrenagem ; Rodete
Muito dif°cil ; Objetos ; Girìmetro ;9; Sensor ; Roda ; Rotor
Muito dif°cil ; Objetos ; Girosc¢pio ;10; B£ssola ; Sensor ; Acelerìmetro
Dif°cil ; Objetos ; gisìmetro ;9; medidor ; escala ; instrumento
Dif°cil ; Objetos ; glicos°metro ;12; aá£car ; sangue ; medidor
Dif°cil ; Objetos ; Glifo ;5; S°mbolo ; Letra ; ÷cone
F†cil ; Objetos ; Globo ;5; Mapa ; Esfera ; Terra
MÇdio ; Objetos ; Glote ;5; Aparelho ; Dispositivo ; Peáa
MÇdio ; Objetos ; Gongo ;5; Sino ; Campana ; Tambor
Muito dif°cil ; Objetos ; Goni¢metro ;9; Transferidor ; Esquadro ; RÇgua
Muito dif°cil ; Objetos ; Goniìmetro ;10; Esquadro ; Transferidor ; RÇgua
MÇdio ; Objetos ; Gotejador ;10; Bico ; V†lvula ; Dispenser
Dif°cil ; Objetos ; Gradil ;6; Grade ; Cerca ; Parede
MÇdio ; Objetos ; Grampeador ;10; Furador ; Clips ; Prendedor
Muito dif°cil ; Objetos ; Grav°metro ;9; Sism¢grafo ; Acelerìmetro ; Medidor
MÇdio ; Objetos ; Graxeira ;8; Funil ; Tubo ; Dep¢sito
F†cil ; Objetos ; Grelha ;6; Chapa ; Grade ; Tela
F†cil ; Objetos ; Guarda ;6; Estante ; Arm†rio ; Prateleira
F†cil ; Objetos ; Guarda-roupas;12; Arm†rio ; Closet ; Estante
Dif°cil ; Objetos ; GurupÇs ;7; Haste ; Mastro ; Trave
MÇdio ; Objetos ; Halter ;6; Peso ; Kettlebell ; Barra
F†cil ; Objetos ; haste ;5; vara ; mastro ; poste
Muito dif°cil ; Objetos ; Hast°metro ;9; Medidor ; RÇgua ; Gabarito
Muito dif°cil ; Objetos ; Heliografo ;9; Medidor ; Sensor ; Rel¢gio
Dif°cil ; Objetos ; heli¢metro ;10; sol ; medidor ; ¢ptica
Muito dif°cil ; Objetos ; Hemocitìmetro ;13; Contador ; Sensor ; Medidor
Dif°cil ; Objetos ; Hidratìmetro ;11; Sensor ; Medidor ; Indicador
